country_name,country_code,region,income_group,year,gdp_usd,population,life_expectancy,unemployment_rate,co2_emissions_per_capita,access_to_electricity_pct,source_file,ingested_at
Argentina,ARG,Latin America & Caribbean,Upper middle income,2012,424634094251.0,42003705.0,75.8,8.05,4.33,98.4,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2012,384244373067.0,68140887.0,75.1,0.95,4.21,99.68,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2010,1470681393995.0,46593220.0,82.1,21.58,5.85,99.32,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2005,1191628426385.0,32355525.0,80.1,7.42,16.63,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2005,451999466892.0,228780790.0,67.2,5.98,1.51,89.69,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2020,1150484705072.0,271634676.0,70.6,4.21,2.11,99.19,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2023,17644693423757.0,1409480661.0,78.4,4.66,8.33,99.87,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2009,2302924290235.0,64491478.0,81.4,10.72,5.84,99.87,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
European Union,EUU,Aggregates,Aggregates,2021,22863797416570.0,1436704597.0,70.2,7.51,6.88,85.53,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2011,2646412320691.0,65165199.0,81.8,8.7,5.58,99.99,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2002,11189601187085.0,287568360.0,77.2,5.01,19.36,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2013,1592785270631.0,143601394.0,70.4,6.73,11.16,99.74,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2016,11545887105520.0,1384557223.0,76.8,4.61,7.33,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2011,1452582672756.0,46658801.0,82.4,20.63,5.81,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2013,1980342128310.0,1284446143.0,68.1,7.48,1.52,83.1,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2007,631564370276.0,69575697.0,74.1,9.39,3.92,99.91,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2001,111776179149.0,70129516.0,68.7,8.34,1.91,98.14,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2004,334011050715.0,38729636.0,74.5,12.19,3.97,96.24,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2021,409563657593.0,98413295.0,73.5,2.01,3.41,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2015,5456766269236.0,127216534.0,83.8,3.6,8.53,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2015,1451373939334.0,50696174.0,81.8,3.98,11.93,99.86,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2004,279010007019.0,4653139.0,79.8,3.45,8.76,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2002,2206899157572.0,82103895.0,78.6,7.58,10.25,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2022,1682013517415.0,127614200.0,73.5,3.23,3.23,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2019,1310720292589.0,125060633.0,75.2,3.57,3.56,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2014,652178208637.0,30471624.0,75.6,5.95,16.64,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2010,2617245068631.0,64879053.0,81.7,9.39,5.71,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2021,1713972426287.0,51689305.0,83.6,3.46,11.62,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2018,419205305331.0,5298326.0,83.0,3.87,7.16,99.56,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2019,1672067290747.0,144415177.0,73.3,4.52,10.7,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2019,384522452946.0,58091178.0,65.5,28.49,7.51,84.37,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2001,1483394531738.0,61287676.0,79.3,8.57,6.2,99.6,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2012,44120819471.0,93474262.0,63.1,2.29,0.09,28.58,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2009,955238721971.0,49290336.0,79.8,5.54,11.27,99.65,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2006,31900366720.0,37277351.0,57.6,5.14,0.32,17.36,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2002,12294829308.0,70568810.0,53.5,2.8,0.06,14.42,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Italy,ITA,Europe & Central Asia,High income,2016,2125446457654.0,59504157.0,82.7,9.62,5.91,99.92,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2018,391538437587.0,57296881.0,64.6,27.83,7.37,83.95,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2011,504183345599.0,37986141.0,76.6,9.39,8.32,99.96,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2013,780896164233.0,76029886.0,76.0,12.05,4.49,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2022,387992399866.0,109506317.0,70.4,7.72,2.49,99.79,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2022,412086608568.0,99399232.0,74.0,1.76,3.29,99.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2010,1155547274113.0,49563135.0,80.3,4.39,11.24,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2011,1553561268590.0,143220235.0,69.4,6.83,11.45,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2005,5470996236096.0,127523566.0,81.8,5.03,9.45,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2014,2059866790734.0,203021103.0,74.4,10.12,2.14,99.26,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2006,1034870507482.0,144649311.0,67.7,9.2,10.97,99.83,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2009,638361128967.0,71336913.0,74.7,12.28,4.08,99.38,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2011,1193640054118.0,49871637.0,80.6,3.66,11.72,99.76,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2012,5573590076365.0,127735942.0,83.2,4.19,8.77,99.94,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2018,20539810132033.0,325928857.0,78.8,4.3,15.21,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2017,1050462331736.0,263993547.0,70.8,4.03,2.08,97.32,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2022,1652163348457.0,48132197.0,83.5,13.86,4.84,99.54,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2002,787328326047.0,101881737.0,74.6,3.3,3.91,97.02,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2022,1018916536412.0,36270354.0,77.6,5.31,17.03,99.47,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2004,1277417158821.0,183913394.0,71.3,9.44,2.01,96.11,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2021,980433152971.0,35592560.0,76.0,5.98,17.35,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2012,849133206365.0,16745438.0,81.2,4.35,10.02,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2009,106651739422.0,86631766.0,73.5,1.63,1.48,96.85,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2016,762604159775.0,79597600.0,76.8,13.09,4.67,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2012,1210042489124.0,22748434.0,81.9,5.19,16.59,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2007,1303417807389.0,1182311234.0,65.7,7.76,1.26,71.03,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2001,834702632933.0,30999624.0,79.4,7.2,17.98,99.5,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2023,1976916340781.0,143674488.0,73.5,3.03,11.68,99.74,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2005,273582748473.0,48062064.0,57.5,24.77,8.6,76.66,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2023,403699210727.0,112789600.0,70.8,7.28,2.47,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2014,2152183947488.0,1299190878.0,68.5,7.15,1.59,85.12,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2021,1054074072950.0,17586000.0,81.7,3.84,7.73,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2021,141828458356.0,120274339.0,66.4,3.25,0.14,51.74,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2007,4597604659260.0,1314466371.0,73.9,4.2,5.06,98.77,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2011,409822654262.0,51906851.0,59.6,25.08,8.53,82.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Norway,NOR,Europe & Central Asia,High income,2015,424387985298.0,5148492.0,82.4,3.57,7.63,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2019,749632591315.0,83416636.0,77.7,14.25,4.89,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2012,1245792107226.0,50080387.0,80.8,3.7,12.05,99.99,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2013,3626220338747.0,82198324.0,80.5,5.69,9.08,99.77,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2009,5422082705702.0,1330234916.0,74.6,4.6,5.8,99.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2001,466660270946.0,15988951.0,78.2,3.44,10.65,99.55,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2003,1762953552200.0,62069396.0,79.8,8.48,6.2,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2001,15851161313.0,31966269.0,52.7,4.54,0.31,15.69,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2021,551561296327.0,45579639.0,74.3,8.6,3.94,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2008,298522771443.0,152168205.0,50.1,3.76,0.77,49.26,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2019,341025686464.0,96625268.0,73.5,1.98,3.3,99.1,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2018,2615895110283.0,67068189.0,82.7,7.56,4.67,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Vietnam,VNM,East Asia & Pacific,Lower middle income,2008,100183219561.0,85916655.0,73.4,1.37,1.39,95.08,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2016,401582084096.0,55810803.0,63.2,27.56,7.75,84.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2018,766079019271.0,82165726.0,77.4,13.29,4.7,99.94,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United States,USA,North America,High income,2005,12646019898796.0,295385341.0,77.6,6.73,20.13,99.86,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2004,325827131388.0,23396293.0,73.4,5.33,14.81,98.49,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2009,378227514964.0,40822311.0,75.5,10.6,4.31,98.69,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2013,1295602748126.0,50353815.0,81.2,3.6,12.05,99.66,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2016,1995586748458.0,205847148.0,75.1,11.0,2.2,99.47,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2020,354954604840.0,103274436.0,70.1,8.75,2.21,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2019,1471792857627.0,47128039.0,83.5,15.85,5.3,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2010,531467579659.0,27413654.0,74.5,5.68,15.91,99.28,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2018,524627445470.0,70846438.0,78.6,0.71,4.01,99.49,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2021,1066114185767.0,84310819.0,76.2,11.81,5.04,99.93,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2017,2861168199332.0,65880128.0,81.2,4.8,5.49,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2012,1561121305303.0,143388829.0,70.0,6.59,11.51,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2005,28379380426.0,36209874.0,56.6,5.36,0.31,16.85,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Canada,CAN,North America,High income,2016,1693887311212.0,36394270.0,81.9,6.58,15.83,99.97,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Kenya,KEN,Sub-Saharan Africa,Lower middle income,2007,35338490201.0,38281598.0,58.4,5.38,0.3,17.89,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Poland,POL,Europe & Central Asia,High income,2022,799280257674.0,36917380.0,77.9,3.1,7.58,99.55,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2019,94006413605.0,114101001.0,66.5,3.48,0.14,48.63,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2009,198291673878.0,81411848.0,70.2,9.07,2.26,99.02,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2004,184671182243.0,137509648.0,48.2,3.56,0.71,47.47,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2015,692271271208.0,31226218.0,75.7,5.54,16.46,99.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Sweden,SWE,Europe & Central Asia,High income,2011,496237009121.0,9482129.0,81.9,8.13,4.81,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2003,132995157515.0,73018897.0,69.1,8.54,2.11,98.46,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2017,439967789187.0,44104353.0,76.4,9.19,4.17,99.59,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2011,796163540804.0,246987840.0,69.0,5.54,1.85,94.04,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUS,East Asia & Pacific,High income,2005,784167631338.0,20615140.0,80.4,5.48,16.73,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2000,612728334274.0,47008660.0,74.8,4.4,8.76,99.92,wdi_extract_2025Q1.csv,2026-08-19 09:47:55
Japan,JPN,East Asia & Pacific,High income,2011,5582677742593.0,127859903.0,83.0,4.73,9.28,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2007,723832934886.0,16381531.0,80.0,4.72,10.74,99.88,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Indonesia,IDN,East Asia & Pacific,Upper middle income,2003,337003055996.0,223137626.0,66.9,5.55,1.42,88.46,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2012,417182317540.0,52746841.0,60.1,24.99,8.51,83.22,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2019,5065410602593.0,126579292.0,84.2,2.3,8.71,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2013,388438152954.0,174071440.0,51.6,4.16,0.74,52.86,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2008,359141860484.0,49908240.0,58.3,24.06,8.49,80.92,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2019,546822966081.0,71310258.0,79.3,0.73,3.94,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Sweden,SWE,Europe & Central Asia,High income,2008,439644426251.0,9275436.0,81.2,7.91,5.05,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2018,1919405249637.0,209334047.0,75.6,11.94,2.19,99.78,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2023,1080450550059.0,36916914.0,78.8,4.73,17.47,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2012,2632288668662.0,63699367.0,80.5,6.95,7.12,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2013,51369771291.0,96450874.0,63.4,2.56,0.1,31.31,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2014,421335359489.0,42833020.0,76.2,8.29,4.3,98.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2023,654371060399.0,46204456.0,77.8,6.53,3.74,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
United Kingdom,GBR,Europe & Central Asia,High income,2015,2791217734974.0,65021853.0,80.9,5.88,6.42,99.79,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2004,596928668397.0,16188919.0,79.4,3.95,10.41,99.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2018,1477021789007.0,47015314.0,83.6,16.02,5.41,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,1899,1942851910247.0,207694241.0,75.2,11.15,2.1,99.59,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2006,398629795789.0,24710017.0,73.6,5.21,15.8,98.99,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2010,1643643976614.0,1232920360.0,66.9,7.6,1.43,76.03,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2002,517508214680.0,145706428.0,66.2,9.9,10.67,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2009,1992915490420.0,194209121.0,73.1,9.69,2.23,98.9,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2010,2204979344170.0,196490668.0,73.2,9.86,2.21,99.02,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Saudi Arabia,SAU,Middle East & North Africa,High income,2001,222510797184.0,21387485.0,72.7,4.61,14.24,98.17,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2016,436136277594.0,43680291.0,76.2,9.05,4.04,99.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Spain,ESP,Europe & Central Asia,High income,2006,1118890969752.0,44227517.0,80.9,18.39,6.36,99.91,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Thailand,THA,East Asia & Pacific,Upper middle income,2003,187662905793.0,64334046.0,71.7,1.86,3.26,86.62,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2019,2861609602052.0,1381799618.0,70.4,5.26,1.77,96.81,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Egypt, Arab Rep.",EGY,Middle East & North Africa,Lower middle income,2011,223791406276.0,84763764.0,70.6,8.8,2.44,101.02,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Netherlands,NLD,Europe & Central Asia,High income,2015,875924916683.0,16985703.0,81.6,3.83,9.59,99.17,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Mexico,MEX,Latin America & Caribbean,Upper middle income,2004,866351487303.0,105011180.0,74.7,3.7,3.85,97.43,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,2006,305868586953.0,48691843.0,57.8,23.82,8.29,78.1,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Argentina,ARG,Latin America & Caribbean,Upper middle income,2013,422877605252.0,42368545.0,75.9,8.63,4.26,98.84,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Turkiye,TUR,Europe & Central Asia,Upper middle income,2010,785825850018.0,72298240.0,75.0,11.31,4.28,99.33,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2015,2271077840967.0,1316658626.0,68.9,6.17,1.63,87.75,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Nigeria,NGA,Sub-Saharan Africa,Lower middle income,2007,271675799917.0,148399131.0,49.8,3.83,0.77,48.72,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Germany,DEU,Europe & Central Asia,High income,2018,3882476147534.0,82982075.0,81.1,3.61,8.29,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Australia,AUT,East Asia & Pacific,High income,2010,1148566646839.0,22003798.0,81.7,5.78,17.21,99.8,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
"Korea, Rep.",KOR,East Asia & Pacific,High income,2014,1409441822004.0,50569088.0,81.7,3.75,11.62,99.46,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
India,IND,South Asia,Lower middle income,2012,1892011238100.0,1268049071.0,67.7,7.49,1.5,80.87,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Ethiopia,ETH,Sub-Saharan Africa,Low income,2017,81336779868.0,108234477.0,65.4,3.23,0.12,43.17,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2000,5042794118333.0,126689356.0,81.1,5.0,9.55,99.63,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
China,CHN,East Asia & Pacific,Upper middle income,2012,7960219092822.0,1354286754.0,75.4,4.52,6.66,99.44,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Russian Federation,RUS,Europe & Central Asia,Upper middle income,2014,1624259429977.0,143866296.0,70.7,6.34,11.75,99.77,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
France,FRA,Europe & Central Asia,High income,2013,2630346033427.0,65716166.0,81.9,8.12,NaN,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Brazil,BRA,Latin America & Caribbean,Upper middle income,2012,2114974209986.0,199747498.0,73.8,8.96,2.13,99.45,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Japan,JPN,East Asia & Pacific,High income,2013,5545334590848.0,127616539.0,83.3,4.08,9.18,99.7,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
Sweden,SWE,Europe & Central Asia,High income,2023,578067722713.0,10552012.0,83.3,7.51,3.08,100.0,wdi_extract_2024Q4.csv,2026-08-18 04:12:07
